rating,roaster,title,blind_assessment,notes,bottom_line,roaster_location,coffee_origin,roast_level,est_price,review_date,aroma,acidity,body,flavor,aftertaste,url,with_milk,agtron_external,agtron_ground,is_espresso,quantity_value,quantity_unit,price_value,price_currency,price_usd,cpi,date,price_usd_adj,quantity_in_lbs,price_usd_adj_per_lb
92.0,Red Rooster Coffee Roaster,Ethiopia Sidama Shoye,"Rich, intricate and layered. Lemon zest, roasted cacao nib, violet, mulberry, frankincense in aroma and cup. Delicately tart acidity; satiny-smooth mouthfeel. The crisp, richly drying finish is cocoa-toned, with hints of citrus.","Produced by family-owned farms that are part of the Shoye Cooperative. This lot was processed by the wet or washed method (fruit skin and pulp are removed before drying). Ethiopia coffees processed with this method typically express great aromatic complexity and intensity, with a particular emphasis on floral notes. This coffee is organic and Fair Trade certified, the latter meaning it was purchased from small-holding farmers at a “fair” or economically sustainable price. Established in 2010, Red Rooster is an organic-certified micro-roaster focusing on socially conscious coffee and high-quality coffee. Visit redroostercoffee.com or call 540-745-7338 for more information.","An elegant washed Sidamo cup, both deeply sweet and delicately tart.","Floyd, Virginia","Sidamo (also Sidama) growing region, southern Ethiopia",Medium-Light,$14.49/12 ounces,2016-11-01,9.0,8.0,8.0,9.0,8.0,https://www.coffeereview.com/review/ethiopia-sidama-shoye/,,56.0,80.0,False,12.0,ounces,14.49,USD,14.49,241.353,2016-11-01,18.86,0.75,25.15
92.0,El Gran Cafe,Finca Santa Elisa Geisha,"Gently sweet-tart, crisply herbaceous. Baking chocolate, green grape, lemon verbena, fresh-cut oak, sugarcane in aroma and cup. Bright, juicy acidity; lightly syrupy mouthfeel. The sweetly herbaceous finish centers around notes of lemon verbena and sugarcane supported by fresh-cut oak.","Produced by Finca Santa Elisa entirely of the Geisha variety of Arabica, and processed by the traditional washed method (fruit skin and flesh are removed from the beans before they are dried). El Gran Cafe is a coffee shop located in the heart of Antigua, Guatemala whose mission is to roast and serve organic-certified coffees produced at its own Finca La Esperanza just outside of town. Featured in El Gran Cafe’s lineup are also coffees from friends and neighbors in the region, along with award-winning and exceptional coffees from other regions of Guatemala. Visit https://El Gran.cafe for more information.","A confident, pretty washed-process Guatemala Geisha enlivened by crisp chocolate and sweet herb notes throughout the profile.","Antigua, Guatemala","Acatenango growing region, Guatemala",Medium-Light,$30.00/12 ounces,2023-08-01,8.0,9.0,8.0,9.0,8.0,https://www.coffeereview.com/review/finca-santa-elisa-geisha/,,62.0,78.0,False,12.0,ounces,30.0,USD,30.0,307.026,2023-08-01,30.7,0.75,40.93
93.0,Tipico Coffee,Costa Rica Sin Limites Gesha,"Floral-toned, tropical-leaning. Magnolia, guava, green banana, amber, cocoa nib in aroma and cup. Juicy-sweet, malic acidity; crisp, velvety mouthfeel. Cocoa-toned guava predominates in the quiet finish.","Produced by Jamie Cardenas of Finca Sin Limites, entirely of the Gesha variety of Arabica, and processed by the honey method, in which some of the fruit flesh is left on the beans during the drying process. Tipico Coffee is a café and specialty coffee roaster based in Buffalo, New York. Visit www.tipicocoffee.com for more information.","A delicate honey-processed Costa Rica Gesha that evokes the tropics with its fruity profile, and magnolia-like florals deepen the sweetness.","Buffalo, New York","West Valley, Costa Rica",Light,$33.00/12 ounces,2024-06-01,9.0,9.0,8.0,9.0,8.0,https://www.coffeereview.com/review/costa-rica-sin-limites-gesha/,,60.0,82.0,False,12.0,ounces,33.0,USD,33.0,314.175,2024-06-01,33.0,0.75,44.0
91.0,Roast House,Ride the Edge,"Crisply floral, delicately lively. Complex flowers – lavender, lilac – roasted cacoa nib, tangerine, fresh-cut cedar in aroma and cup. Sweetly brisk acidity; light, silky mouthfeel. Flowers in particular carry into a gentle, resonant finish.","The coffees in this blend are certified organically grown and Fair Trade, meaning they were purchased from small-holding farmers at a “fair” or economically sustainable price. Roast House is a small-batch, quality-focused roaster specializing in farm-direct organic- and Fair Trade-certified coffees. Visit roasthousecoffee.com or call 509-995-6500 for more information.",,"Spokane, Washington","Southern Ethiopia; Mexico; northern Sumatra, Indonesia.",Medium,$14.00/16 ounces,2015-07-01,8.0,8.0,8.0,9.0,8.0,https://www.coffeereview.com/review/ride-the-edge/,,53.0,67.0,False,16.0,ounces,14.0,USD,14.0,238.654,2015-07-01,18.43,1.0,18.43
92.0,Level Ground Trading,Direct Fair Trade Espresso,"Evaluated as espresso. Intrigungly complex, balanced. Dark chocolate, molasses, cedar, narcissus, date in aroma and small cup. Satiny-smooth body; sweetly cocoa-toned finish. In three parts milk, floral and cocoa tones lead in the short, while hints of rich date resurface in the long.","Coffees in this blend are all fully wet-processed or “washed” and certified organically grown in both Canada and the U.S. Since 1997, Level Ground Trading has been an importer and roaster based in Victoria, Canada, focused on direct trade with small-scale producers in developing countries and on marketing their products throughout North America. Visit www.levelground.com or call 888-565-6633 for more information.",A solid espresso blend equally pleasing as a straight shot and in milk.,"Victoria, British Columbia, Canada",Africa; South America,Medium-Light,CAD $17.00/16 ounces,2017-11-01,9.0,,8.0,8.0,8.0,https://www.coffeereview.com/review/direct-fair-trade-espresso-2/,9,51.0,73.0,True,16.0,ounces,17.0,CAD,13.21,246.669,2017-11-01,16.83,1.0,16.83
93.0,Achilles Coffee Roasters,Costa Rica Hacienda Sonora Natural,"Tart-leaning, crisply fruity. Pomegranate, dark chocolate, magnolia, cedar, agave syrup in aroma and cup. Pert acidity; plush, creamy mouthfeel. Resonant, chocolaty and fruit-forward finish.","Produced by Diego Guardia, entirely of the SL28 variety of Arabica, and processed by the natural method (dried in the whole fruit). Achilles Coffee Roasters is a San Diego-based specialty roaster. Visit www.achillescoffeeroasters.com for more information.","A bright natural-processed Costa Rica cup, fruit-centered and richly chocolaty with sweet floral undertones.","San Diego, California","Alajuela, Central Valley, Costa Rica",Medium-Light,$23.50/12 ounces,2023-11-01,9.0,8.0,9.0,9.0,8.0,https://www.coffeereview.com/review/costa-rica-hacienda-sonora-natural/,,56.0,80.0,False,12.0,ounces,23.5,USD,23.5,307.051,2023-11-01,24.05,0.75,32.07
91.0,Moore Coffee,Papua New Guinea,"A gentle, sweet coffee whose balance and understated depth and completeness genuinely merits the word elegant. A delicate, dry chocolate flits through the profile from aroma through finish; the acidity is soft, rich, and sweet with pink grapefruit notes.","Papua New Guinea, which occupies the eastern half of the enormous island of New Guinea, produces some of the world's finest and most distinctive coffees. Moore Coffee is a small retail and wholesale roaster that also offers a range of other fancy foods and beverages. Visit www.moorecoffee.com or call 800-994-8060 for more information.",,"Ventura, California",Papua New Guinea,Medium-Dark,,2004-10-01,8.0,8.0,7.0,8.0,,https://www.coffeereview.com/review/papua-new-guinea-4/,,38.0,45.0,False,,,,,,190.9,2004-10-01,,,
92.0,Oceana Coffee,Sumatra Tanah Karo,"Sweet/savory, chocolaty. Spicy chocolate, plum, rosemary, lightly scorched pine, lantana-like flowers in aroma and cup. Distinctly sweet/savory in structure; plushly syrupy in mouthfeel. Dries and simplifies a bit in the finish, though sweet hints of chocolate and fruit persist.","Coffees like this one from the northern part of the Indonesian island of Sumatra are admired for their complex aromatic wood and fruit notes that appear to result largely from unorthodox fruit removal and drying practices called “wet hulling.” This coffee tied for the fourth-highest rating in a tasting of nearly 130 darker-roasted coffees for Coffee Review‘s August 2017 tasting report. Established in 2009 by Amy and Scott Angelo, Oceana brews specialty coffees that have been roasted in small batches at its roasting house and café in Tequesta, Florida. Oceana reports that its staff is obsessed with every detail of the process, from sourcing the beans to how the coffee is poured, aimed at insuring that every cup is as rich and resonant as it should be. Visit www.oceanacoffee.com for more information.","A rich, idiosyncratic version of an already idiosyncratic coffee type, a darker roasted wet-hulled Sumatra. We didn’t register much of the famous Sumatra earth or pipe tobacco, but we did get a big, spicy yet fudgy chocolate and a complex pungent sweetness.","Tequesta, Florida","Northern Sumatra, Indonesia",Medium-Dark,$15.75/12 ounces,2017-08-01,9.0,8.0,9.0,9.0,7.0,https://www.coffeereview.com/review/sumatra-tanah-karo/,,39.0,49.0,False,12.0,ounces,15.75,USD,15.75,245.519,2017-08-01,20.15,0.75,26.87
93.0,Caribou Coffee,Kenya,"Delicate, bright, juicy, precious. Ripe lemon, orange, tart cherry, black currant in aroma and cup. Tartly sweet acidity, silky mouthfeel. Rich, almost sugary finish.","Despite grower discontent and sporadic social disorder, Kenya continues to produce some of the world's most elegant and distinctive coffees. This one is Rainforest Alliance Certified, meaning it was produced following sustainable ecological and socio-economic criteria developed by the Sustainable Agricultural Network, a coalition of independent, environment-focused non-governmental organizations. Caribou Coffee is a large (second largest in the U.S. after Starbucks) retail roasting chain based in the upper Middle West whose rather irreverent motto ""Life is short. Stay awake for it"" belies a serious approach to coffee. Visit www.cariboucoffee.com or call 888-227-4268 for more information.",,"Minneapolis, Minnesota",Kenya,Medium,$16.99/16 ounces,2010-11-01,9.0,9.0,8.0,9.0,8.0,https://www.coffeereview.com/review/kenya-7/,,49.0,60.0,False,16.0,ounces,16.99,USD,16.99,218.803,2010-11-01,24.4,1.0,24.4
84.0,Allegro Coffee,Ethiopian Harrar,"Lush, sweetly overripe Harrar fruit notes are shadowed by salty and bitter tones. Dry chocolate in the finish.","Harrar is one of the world's oldest and most traditional coffees, dry-processed and cleaned using the most simple of means. At its best it is one of the world's finest coffees, though its sweetly voluptuous fruit tones may turn composty and rather bitter. Allegro is one of the country's leading and most sophisticated sellers of premium single origin coffees, committed to giving equal value to intrinsic coffee character and environmental and social issues in its coffee sourcing. Visit www.allegrocoffee.com or call 900-277-1107 for more info.",,"Eastlake, Colorado",,Medium-Dark,,2002-09-01,8.0,,7.0,6.0,,https://www.coffeereview.com/review/ethiopian-harrar/,,46.0,38.0,False,,,,,,181.0,2002-09-01,,,
