rating,roaster,title,blind_assessment,notes,bottom_line,roaster location,coffee origin,roast level,agtron,est. price,review date,aroma,acidity,body,flavor,aftertaste,url,sitemap_lastmod,acidity/structure,with milk,processing method,variety,harvested,lot size,lot # or id,seller,estimated price
92,Big Shoulders Coffee,Panama Los Lajones Natural,"Crisp yet lush. Bakers’ chocolate, orangy citrus, musk, a hint of grappa in aroma and cup. Rich, juicy acidity; syrupy mouthfeel. Chocolate and orange suggestions in particular carry into a gently drying finish.","Produced from trees of the Caturra and Yellow Catuai varieties of Arabica and processed by the dry or “natural” method, meaning the beans were dried inside the fruit rather than after the fruit has been removed, as is the case with wet-processed or “washed” coffees. Big Shoulders Coffee is a Chicago artisan roaster that emphasizes its fresh-roasted, no-nonsense approach to fine coffee. Visit www.bigshoulderscoffee.com or call 312-888-3042 for more information.",,"Chicago, Illinois","Eastern slopes of Volcan Baru, western Panama.",Medium,52/75,$17.50/12 ounces,January 2015,8,8,9,9,8,https://www.coffeereview.com/review/panama-los-lajones-natural/,2024-09-04,,,,,,,,,
95,JBC Coffee Roasters,Sudan Rume,"Complex, sweetly and intricately herbaceous, citrusy. Lemon verbena, cardamom, cocoa nib, ginger, aromatic orchid in aroma and cup. Sweetly savory with delicately juicy acidity; crisp, silky mouthfeel. Long, resonant, flavor-saturated finish.","Comprised entirely of beans from the rare Sudan Rume, a presumably very old variety of Arabica originally selected from wild trees growing on the Boma Plateau of Sudan, close to the border with Ethiopia. Produced by Rigoberto Herrera at Granja La Esperanza in Colombia. Fermented in the whole fruit, then fermented again after the skins are removed. JBC Coffee Roasters’ vision is simple: “let the coffee lead the way” through sourcing and roasting the best and most unique coffees available and rewarding the farmers who grow those coffees with substantial premiums. Visit www.jbccoffeeroasters.com or call 608-256-5282 for more information.","A striking and original version of the rare Sudan Rume variety of Arabica: all spice, herbs and cocoa.","Madison, Wisconsin","Valle del Cauca Department, Colombia",Medium,57/74,$30.00/8 ounces,August 2021,9,,9,9,9,https://www.coffeereview.com/review/sudan-rume-3/,2021-08-17,9,,,,,,,,
87,"Conservatory for Coffee, Tea and Cocoa",Burundi Mwurire,"Muted acidity, smooth mouthfeel with a shadow dry astringency. In aroma and cup distinct dark chocolate notes and pungent complications of aromatic wood with hints of flowers and raisiny fruit. Sweet and rich in the short finish; a touch astringent in the long.","Burundi is a small, landlocked country in Central Africa. Most coffee is grown in the mountains of the north, bordering Rwanda. Benefiting from ideal growing conditions and large plantings of the heirloom Bourbon variety of Arabica, Burundi coffee has an excellent reputation, though it is better known in Europe than in the United States. Located in Southern California's Culver City, The Conservatory for Coffee, Tea, and Cocoa has been a part of its community since 1995. It offers an impressive selection of coffee, tea and spices with the motto TThe shortest distance from the roaster to your cup."" Visit www.conservatorycoffeeandtea.com or call 310-558-0436 for more information.",,"Culver City, California",Burundi,Dark,42/49,$13.00/pound,May 2010,8,7,8,8,6,https://www.coffeereview.com/review/burundi-mwurire/,2014-10-02,,,,,,,,,
91,Mr. Chao Coffee,Ethiopia Hambela G1,"Deep-toned, chocolaty. Baking chocolate, date, hazelnut, fresh-cut cedar, brown sugar in aroma and cup. Sweet-toned structure with gentle, round acidity; full, satiny mouthfeel. Crisp, chocolaty finish with undertones of hazelnut and date.","Southern Ethiopia coffees like this one are largely produced from distinctive indigenous Ethiopian landrace varieties of Arabica long grown in the region. Processed by the natural method (dried in the whole fruit). Mr. Chao Coffee is a subsidiary of Intekeco Co., Ltd, based in New Taipei City, Taiwan, which provides both green and roasted coffee to wholesale and retail clients. Visit https://chao-coffee.webnode.tw/zh-tw/ for more information.","A friendly, accessible natural Ethiopia cup with deep fruit, crisp chocolate and sweet nut notes throughout.","New Taipei City, Taiwan","Guji Zone, Oromia Region, Southern Ethiopia",Medium,54/76,NT $260/227 grams,August 2021,8,,8,9,8,https://www.coffeereview.com/review/ethiopia-hambela-g1/,2021-08-20,8,,,,,,,,
90,Carmen Cafe,Carmen Blend,"Rich aroma: dark chocolate, toast and a hint of fruit. The flavors blossom in the small cup with a broad cherry-like fruit balanced by notes of aromatic wood, a suggestion of mint, soft roastiness and more dark chocolate. Flavors simplify in the finish. Sweet and round in two parts milk: nut-toned chocolate dominates, complicated by continued suggestions of fruit, caramel and aromatic wood.","Located in Banciao City, southwest of Taipei, Carmen Cafe is a small-scale roaster and coffee shop that focuses on single-origin coffees and refined espresso blends. With a strong commitment to freshness, Carmen Cafe will custom-roast to order. Visit tw.myblog.yahoo.com/carmen-cafe or call +886-2-2258-3953 for more information.",,"Banciao City, Taiwan",Costa Rica; Panama; Brazil; Ethiopia; El Salvador.,Dark,40/54,NT$300 / 8 oz.,April 2010,8,,8,9,7,https://www.coffeereview.com/review/carmen-blend/,2014-10-02,,8,,,,,,,
90,Doi Chaang Coffee,Single Origin Decaf,"Deep, rich, balanced when hot. Fresh-cut fir, milk chocolate and an apricot-like fruit in the aroma; in the cup the chocolate turns crisper and more cocoa-like and the fruit more lemony. Softly round acidity, lightly syrupy mouthfeel. Flavor fades in the finish, though the pleasing chocolate note persists.","This coffee is certified organically grown and Fair-Trade certified, meaning it was produced following organic agricultural procedures and purchased from small-holding farmers at a ""fair"" or economically sustainable price. Decaffeinated by the ""Swiss Water Process"" method, which does not involve use of solvents. Doi Chaang is a single-estate coffee produced by a northern Thailand hill tribe in the Golden Triangle mountains of Thailand and roasted in Canada. The independent coffee growers receive over 50% of the profits of this unusual and pioneering venture. Visit www.doichaangcoffee.com or call 866-924-2264 for more information.",,"Vancouver, British Columbia, Canada",Northern Thailand,Very Dark,27/50,CAD $15.00/16 oz.,November 2010,9,8,8,8,7,https://www.coffeereview.com/review/single-origin-decaf/,2018-04-01,,,,,,,,,
89,Doi Chaang Coffee,Single-Origin Medium Roast,"Quiet, sweetly smooth. Nut, raisin, hints of fir and flowers in aroma and cup. Softly balanced acidity, lightly syrupy mouthfeel. Round, sweet-toned finish.","This coffee is certified organically grown and Fair-Trade certified, meaning it was produced following organic agricultural procedures and purchased from small-holding farmers at a ""fair"" or economically sustainable price. Doi Chaang is a single-estate coffee produced by a northern Thailand hill tribe in the Golden Triangle mountains of Thailand and roasted in Canada. The independent coffee growers receive over 50% of the profits of this unusual and pioneering venture. Visit www.doichaangcoffee.com or call 866-924-2264 for more information.",,"Vancouver, British Columbia, Canada",Northern Thailand,Medium-Dark,45/58,CAD $15.99/16 ounces,June 2011,7,8,8,8,8,https://www.coffeereview.com/review/single-origin-medium-roast-4/,2018-04-01,,,,,,,,,
96,Big Shoulders Coffee,Panama Esmeralda Geisha,"Very sweet, exhilaratingly floral, lavishly complex. Lavender honey; floral notes ranging from violet to lily; candied lemon and blood orange; roasted cacao nib; black cherry in aroma and cup. Delicate, gently crisp, very sweet acidity; syrupy, buoyant mouthfeel. Deep, long, resonantly flavor-saturated finish.","This exceptional coffee was selected as the No. 13 coffee on Coffee Review’s list of the Top 30 Coffees of 2015. Coffee from trees of the botanical variety Gesha (also Geisha) grown on Price Peterson’s Hacienda La Esmeralda in Panama first introduced this extraordinary variety of Arabica to the world. With its bold, boat-shaped beans and distinctive floral and crisply cacao-toned cup, the Gesha continues one of the world’s most unique coffees, and the Esmeralda versions remain among the most authentic. Big Shoulders Coffee is a Chicago artisan roaster that emphasizes its fresh-roasted, no-nonsense approach to fine coffee. Visit www.bigshoulderscoffee.com or call 312-888-3042 for more information.",,"Chicago, Illinois","Boquete growing region, western Panama.",Medium,57/83,$46.00/10 ounces,March 2015,9,9,9,10,9,https://www.coffeereview.com/review/panama-esmeralda-geisha/,2024-09-04,,,,,,,,,
89,Doi Chaang Coffee,Single Origin Medium Roast,"Gently balanced, silky coffee. Flowers, fir, orangy fruit in the aroma. Soft acidity, lightly syrupy mouthfeel. Cocoa-toned fir, dark chocolate, raisin in the cup. Simple, sweet finish.","This coffee is certified organically grown and Fair-Trade certified, meaning it was produced following organic agricultural procedures and purchased from small-holding farmers at a ""fair"" or economically sustainable price. Doi Chaang is a single-estate coffee produced by a northern Thailand hill tribe in the Golden Triangle mountains of Thailand and roasted in Canada. The independent coffee growers receive over 50% of the profits of this unusual and pioneering venture. Visit www.doichaangcoffee.com or call 866-924-2264 for more information.",,"Vancouver, British Columbia, Canada",Northern Thailand,Medium-Dark,46/56,CAD $15.99/16 ounces,February 2011,7,8,8,8,8,https://www.coffeereview.com/review/single-origin-medium-roast-3/,2018-04-01,,,,,,,,,
88,Portola Handcrafted Coffee Roasters,Bali Kinamani Subak Abians Organic,"The ferment tones in this dried-in-the-fruit coffee take on a particularly intense brandy character. Rich, brandy-inflected acidity and flavor complicated by dry chocolate, cherryish fruit, and a hint of herby mint.  Sweet short finish with a slight saltiness lurking in the long.","Certified organically grown. The exotic and colorful island of Bali produces a small volume of coffee in the interior highlands. This particular Bali is a dry- or ""natural-"" processed coffee, meaning the beans were dried inside the fruit rather than after the fruit is removed, as is the case with the wet-processed or ""washed"" coffees. Located inside Irvine's Layer Cake Bakery, Portola Handcrafted Coffee Roasters is a quality-minded micro-roaster with the motto ""World Class, World Friendly."" Visit www.portolacoffee.com or call 949-713-7318 for more information.",,"Irvine, California","Central Bali, Indonesia",Medium,52/74,$11.45/12 oz.,May 2010,8,8,8,7,7,https://www.coffeereview.com/review/bali-kinamani-subak-abians-organic/,2014-10-02,,,,,,,,,
